21/08/2018,00165,09-12-14-23-32-46|31
18/08/2018,00164,07-33-36-39-51-55|11
16/08/2018,00163,06-10-34-46-48-51|47
14/08/2018,00162,29-30-36-38-45-52|46
11/08/2018,00161,16-17-31-33-42-44|14
09/08/2018,00160,24-29-32-33-49-55|09
07/08/2018,00159,03-09-15-20-39-49|04
04/08/2018,00158,11-12-24-32-41-48|03
02/08/2018,00157,06-11-16-17-41-55|07
31/07/2018,00156,01-05-27-31-47-50|41
28/07/2018,00155,11-16-22-25-30-40|09
26/07/2018,00154,21-24-33-37-40-46|52
24/07/2018,00153,11-18-34-37-50-53|20
21/07/2018,00152,07-31-33-37-46-52|28
19/07/2018,00151,11-13-28-34-44-47|10
17/07/2018,00150,05-14-22-27-31-40|48
14/07/2018,00149,04-19-23-34-38-50|01
12/07/2018,00148,08-15-18-21-24-49|22
10/07/2018,00147,06-10-16-20-27-29|24
07/07/2018,00146,02-30-45-48-49-53|41
05/07/2018,00145,04-15-22-24-43-51|48
03/07/2018,00144,30-32-34-47-48-49|50
30/06/2018,00143,03-12-23-24-30-33|01
28/06/2018,00142,11-31-33-43-48-51|23
26/06/2018,00141,17-18-21-39-40-43|03
23/06/2018,00140,06-08-13-23-46-55|01
21/06/2018,00139,02-08-19-23-25-33|32
19/06/2018,00138,16-17-31-37-41-52|34
16/06/2018,00137,14-15-21-30-44-47|48
14/06/2018,00136,03-15-32-45-48-54|55
12/06/2018,00135,04-13-23-27-29-35|14
09/06/2018,00134,09-23-25-39-52-53|38
07/06/2018,00133,11-16-18-26-46-47|42
05/06/2018,00132,11-21-26-32-51-52|05
02/06/2018,00131,05-07-17-22-32-33|06
31/05/2018,00130,03-15-18-25-26-29|19
29/05/2018,00129,09-13-17-18-46-50|26
26/05/2018,00128,07-12-28-31-40-44|15
24/05/2018,00127,24-25-26-29-36-48|40
22/05/2018,00126,04-05-08-17-35-47|39
19/05/2018,00125,33-35-45-52-53-55|25
17/05/2018,00124,13-31-38-45-53-55|46
15/05/2018,00123,03-06-29-37-44-49|24
12/05/2018,00122,01-09-26-38-54-55|51
10/05/2018,00121,02-06-08-34-39-43|11
08/05/2018,00120,03-16-23-24-38-42|48
05/05/2018,00119,16-32-33-37-40-48|15
03/05/2018,00118,23-27-33-37-39-49|44
01/05/2018,00117,01-07-20-23-25-38|14
28/04/2018,00116,12-19-22-29-32-46|25
26/04/2018,00115,23-26-29-31-36-54|55
24/04/2018,00114,17-18-24-40-41-46|06
21/04/2018,00113,16-18-41-43-46-55|35
19/04/2018,00112,04-17-19-35-49-55|09
17/04/2018,00111,02-10-26-27-31-38|39
14/04/2018,00110,02-10-14-26-45-54|20
12/04/2018,00109,04-29-35-37-42-54|19
10/04/2018,00108,01-22-25-31-36-48|41
07/04/2018,00107,12-24-33-34-36-53|05
05/04/2018,00106,07-09-17-25-31-32|06
03/04/2018,00105,20-21-39-42-51-53|01
31/03/2018,00104,03-07-31-43-51-53|26
29/03/2018,00103,05-27-35-39-46-52|31
27/03/2018,00102,09-13-14-15-54-55|22
24/03/2018,00101,01-30-38-45-48-50|12
22/03/2018,00100,01-08-24-33-34-41|20
20/03/2018,00099,11-40-43-46-49-55|37
17/03/2018,00098,03-14-28-35-50-52|29
15/03/2018,00097,15-20-23-28-39-49|19
13/03/2018,00096,01-02-17-46-47-49|44
10/03/2018,00095,09-20-27-31-48-49|42
08/03/2018,00094,14-17-18-23-41-52|40
06/03/2018,00093,02-06-13-22-40-48|12
03/03/2018,00092,04-10-32-37-47-52|49
01/03/2018,00091,04-05-07-17-20-38|09
27/02/2018,00090,08-16-23-28-44-49|45
24/02/2018,00089,05-07-24-32-45-49|01
22/02/2018,00088,11-14-32-36-42-48|20
20/02/2018,00087,01-02-21-24-50-52|33
17/02/2018,00086,16-22-28-29-35-43|45
13/02/2018,00085,09-25-26-30-42-54|19
10/02/2018,00084,08-10-19-25-36-46|07
08/02/2018,00083,21-22-29-37-41-50|33
06/02/2018,00082,01-20-29-31-43-53|16
03/02/2018,00081,12-29-42-48-54-55|18
01/02/2018,00080,01-07-08-09-39-43|52
30/01/2018,00079,15-19-24-51-53-55|29
27/01/2018,00078,21-26-36-38-40-50|11
25/01/2018,00077,01-10-30-44-45-50|04
23/01/2018,00076,03-10-15-23-41-53|35
20/01/2018,00075,02-07-15-16-41-45|19
18/01/2018,00074,12-24-28-30-36-39|15
16/01/2018,00073,06-27-33-41-42-49|22
13/01/2018,00072,03-21-25-26-51-55|37
11/01/2018,00071,04-07-30-35-37-45|01
