29/07/2018,00316,26-31-32-37-43-45
27/07/2018,00315,02-21-32-37-38-42
25/07/2018,00314,09-16-18-38-41-45
22/07/2018,00313,08-09-24-27-40-45
20/07/2018,00312,13-14-16-19-20-23
18/07/2018,00311,08-10-14-19-26-34
15/07/2018,00310,07-15-20-29-31-38
13/07/2018,00309,03-08-09-25-27-28
11/07/2018,00308,12-26-28-29-39-43
08/07/2018,00307,02-07-08-10-28-44
06/07/2018,00306,22-26-33-34-38-42
04/07/2018,00305,02-03-27-28-34-43
01/07/2018,00304,04-07-15-28-34-37
29/06/2018,00303,06-18-22-24-36-39
27/06/2018,00302,25-27-29-33-37-38
24/06/2018,00301,06-08-23-32-33-41
22/06/2018,00300,15-19-20-26-34-39
20/06/2018,00299,02-18-22-30-32-43
17/06/2018,00298,03-05-06-07-34-40
15/06/2018,00297,08-11-13-23-24-28
13/06/2018,00296,02-04-17-24-31-40
10/06/2018,00295,22-25-35-36-38-39
08/06/2018,00294,04-13-32-35-40-42
06/06/2018,00293,06-20-22-26-43-44
03/06/2018,00292,18-20-24-40-42-45
01/06/2018,00291,06-14-19-38-43-44
30/05/2018,00290,02-17-19-27-31-36
27/05/2018,00289,05-09-17-18-19-22
25/05/2018,00288,05-14-22-26-29-39
23/05/2018,00287,13-16-25-34-37-41
20/05/2018,00286,18-19-25-26-29-39
18/05/2018,00285,03-18-24-29-30-35
16/05/2018,00284,10-21-23-25-35-38
13/05/2018,00283,06-11-16-18-27-41
11/05/2018,00282,10-11-26-29-33-38
09/05/2018,00281,09-15-20-30-31-33
06/05/2018,00280,11-26-28-34-36-37
04/05/2018,00279,09-18-25-26-27-29
02/05/2018,00278,10-11-22-29-37-40
29/04/2018,00277,03-10-22-23-25-43
27/04/2018,00276,10-20-24-27-28-29
25/04/2018,00275,04-15-17-23-29-43
22/04/2018,00274,06-07-22-32-36-39
20/04/2018,00273,06-09-14-30-33-42
18/04/2018,00272,06-16-28-29-39-44
15/04/2018,00271,03-09-13-20-30-34
13/04/2018,00270,11-22-24-33-38-43
11/04/2018,00269,07-20-23-25-26-39
08/04/2018,00268,02-05-11-16-30-34
06/04/2018,00267,01-07-08-09-36-40
04/04/2018,00266,02-03-06-16-41-44
01/04/2018,00265,04-12-24-33-39-43
30/03/2018,00264,07-11-18-28-34-43
28/03/2018,00263,12-18-31-34-35-42
25/03/2018,00262,04-10-13-22-38-42
23/03/2018,00261,03-06-12-22-26-35
21/03/2018,00260,06-19-38-40-41-44
18/03/2018,00259,14-21-24-28-31-40
16/03/2018,00258,06-08-13-17-20-34
14/03/2018,00257,12-21-23-27-31-34
11/03/2018,00256,01-14-19-26-41-42
09/03/2018,00255,05-10-13-19-25-44
07/03/2018,00254,08-19-25-31-37-40
04/03/2018,00253,04-11-19-25-32-40
02/03/2018,00252,03-07-15-27-41-45
28/02/2018,00251,17-19-21-23-36-40
25/02/2018,00250,08-10-12-29-30-42
23/02/2018,00249,05-16-19-23-29-37
21/02/2018,00248,18-23-24-26-29-33
18/02/2018,00247,01-05-14-16-36-38
14/02/2018,00246,12-31-32-34-35-43
11/02/2018,00245,05-19-27-32-41-45
09/02/2018,00244,02-10-14-19-23-37
07/02/2018,00243,05-07-18-26-30-36
04/02/2018,00242,01-05-13-27-40-45
02/02/2018,00241,02-07-14-28-42-45
31/01/2018,00240,04-07-09-10-30-40
28/01/2018,00239,12-26-27-33-36-37
26/01/2018,00238,01-09-18-28-36-44
24/01/2018,00237,05-06-24-33-42-45
21/01/2018,00236,01-10-11-24-32-37
19/01/2018,00235,02-04-27-28-31-36
17/01/2018,00234,09-10-12-22-27-41
14/01/2018,00233,01-06-10-29-32-41
12/01/2018,00232,04-08-17-23-27-34
10/01/2018,00231,06-18-21-22-37-45
07/01/2018,00230,04-06-11-13-24-31
05/01/2018,00229,19-30-34-38-42-44
03/01/2018,00228,08-14-19-30-33-35
31/12/2017,00227,03-13-14-26-30-34
29/12/2017,00226,02-08-17-20-29-39
27/12/2017,00225,09-13-19-21-27-30
24/12/2017,00224,01-05-09-14-30-31
22/12/2017,00223,09-13-17-22-26-33
20/12/2017,00222,03-08-25-37-40-42
17/12/2017,00221,04-07-16-27-40-41
15/12/2017,00220,13-14-17-24-28-43
13/12/2017,00219,04-07-19-24-32-38
10/12/2017,00218,27-36-39-43-44-45
08/12/2017,00217,02-11-15-32-40-44
06/12/2017,00216,03-07-29-31-34-43
03/12/2017,00215,08-09-15-18-27-30
01/12/2017,00214,10-19-30-35-39-45
29/11/2017,00213,19-23-26-37-38-41
26/11/2017,00212,04-12-17-19-23-34
24/11/2017,00211,14-24-32-34-36-45
22/11/2017,00210,05-06-09-23-27-35
19/11/2017,00209,14-20-30-33-41-43
17/11/2017,00208,11-13-18-19-31-45
15/11/2017,00207,01-09-15-27-33-43
12/11/2017,00206,22-26-37-40-42-44
10/11/2017,00205,01-04-19-21-24-35
08/11/2017,00204,01-18-23-24-40-41
05/11/2017,00203,03-17-38-39-41-44
03/11/2017,00202,07-17-20-22-29-44
01/11/2017,00201,04-12-25-39-42-44
29/10/2017,00200,01-05-28-31-44-45
27/10/2017,00199,04-10-13-21-22-38
25/10/2017,00198,12-17-23-25-34-38
22/10/2017,00197,08-14-16-17-31-42
20/10/2017,00196,02-18-25-33-36-42
18/10/2017,00195,16-24-32-36-37-40
15/10/2017,00194,02-09-14-21-35-40
13/10/2017,00193,10-13-20-21-25-36
11/10/2017,00192,04-11-14-15-19-26
08/10/2017,00191,08-16-24-27-35-39
06/10/2017,00190,04-06-18-20-30-45
04/10/2017,00189,04-05-09-19-37-44
01/10/2017,00188,08-23-27-36-37-43
29/09/2017,00187,23-28-30-35-37-42
27/09/2017,00186,10-19-33-34-35-45
24/09/2017,00185,04-10-11-31-36-39
22/09/2017,00184,05-16-21-31-37-41
20/09/2017,00183,05-07-13-17-23-33
17/09/2017,00182,06-11-15-16-37-40
15/09/2017,00181,03-24-35-37-40-43
13/09/2017,00180,03-08-19-35-38-40
10/09/2017,00179,01-22-23-35-36-42
08/09/2017,00178,02-15-17-32-41-44
06/09/2017,00177,05-20-24-32-36-42
03/09/2017,00176,05-06-26-28-35-43
01/09/2017,00175,09-10-13-19-23-41
30/08/2017,00174,05-08-11-28-35-41
27/08/2017,00173,03-07-16-32-36-39
25/08/2017,00172,02-07-12-27-40-44
